attack_id,attack_name,category,attack_start_time,attack_end_time,alert_generated,alert_time,detection_time_seconds,rule_id,rule_level,rule_description,analysis_start_time,analysis_end_time,analysis_time_minutes,remediation_start_time,remediation_end_time,remediation_time_minutes,total_response_time_minutes,classification,phase,notes
01,SSH Brute Force,Brute Force,2026-01-05T18:51:14+03:00,2026-01-05T18:51:30+03:00,Yes,2026-01-05T15:51:14.973000+00:00,0.973,5710,5,sshd: Attempt to login using a non-existent user,2026-01-05T18:53:40+03:00,2026-01-05T19:08:27+03:00,14.783333333333333,2026-01-05T19:11:04+03:00,2026-01-05T19:45:42+03:00,34.63333333333333,54.450450000000004,true-positive,0,Block the IP address via active response with firewall drop
02,Web Login Brute Force,Brute Force,2026-01-05T18:51:32+03:00,2026-01-05T18:51:43+03:00,Yes,2026-01-05T15:51:32.991000+00:00,0.991,31101,5,Web server 400 error code.,2026-01-05T22:56:47+03:00,2026-01-05T23:03:29+03:00,6.7,2026-01-05T23:03:42+03:00,2026-01-05T23:06:25+03:00,2.716666666666667,254.86681666666667,true-positive,0,Block the IP address via active response with firewall drop
03,Unauthorized File Modification,File Integrity,2026-01-05T18:51:58+03:00,2026-01-05T18:52:04+03:00,Yes,2026-01-05T15:51:58.807000+00:00,0.807,554,5,File added to the system.,2026-01-05T23:08:53+03:00,2026-01-05T23:54:22+03:00,45.483333333333334,2026-01-05T23:54:33+03:00,2026-01-06T00:03:41+03:00,9.133333333333333,311.70321666666666,true-positive,0,Integrate VirusTotal and block the IP via active response with rules 550 and 554 Syscheck handled created and deleted and modified files Disable the user when rules 550 or 554 trigger
04,Configuration File Tampering,File Integrity,2026-01-05T18:52:07+03:00,2026-01-05T18:52:09+03:00,Yes,2026-01-05T15:52:07.037000+00:00,0.037,40112,12,Multiple authentication failures followed by a success.,2026-01-06T11:03:59+03:00,2026-01-06T11:14:32+03:00,10.55,2026-01-06T11:14:50+03:00,2026-01-06T11:19:01+03:00,4.183333333333334,986.8993833333334,true-positive,0,Block the IP via active response with rules 550 and 554 Syscheck restored the tampered files
05,EICAR Test File Download,Malware,2026-01-05T18:52:17+03:00,2026-01-05T18:52:38+03:00,Yes,2026-01-05T15:52:17.045000+00:00,0.045,5402,3,Successful sudo to ROOT executed.,2026-01-06T11:22:02+03:00,2026-01-06T11:28:59+03:00,6.95,2026-01-06T11:29:16+03:00,2026-01-06T11:30:47+03:00,1.5166666666666666,998.4992500000001,true-positive,0,Add VirusTotal and block the IP via active response with rules 550 and 554 Syscheck handled created and deleted and modified files Disable the user when rules 550 or 554 trigger
06,Suspicious Script Execution,Malware,2026-01-05T18:52:42+03:00,2026-01-05T18:53:00+03:00,Yes,2026-01-05T15:52:42.677000+00:00,0.677,554,5,File added to the system.,2026-01-06T11:33:24+03:00,2026-01-06T11:39:33+03:00,6.15,2026-01-06T11:39:43+03:00,2026-01-06T11:40:21+03:00,0.6333333333333333,1007.6387166666666,true-positive,0,Add VirusTotal and block the IP via active response with rules 550 and 554 Syscheck handled created and deleted and modified files Disable the user when rules 550 or 554 trigger
07,Sudo Abuse,Privilege Escalation,2026-01-05T18:53:05+03:00,2026-01-05T18:53:27+03:00,Yes,2026-01-05T15:53:05.096000+00:00,0.096,40112,12,Multiple authentication failures followed by a success.,2026-01-06T13:19:55+03:00,2026-01-06T13:40:58+03:00,21.05,2026-01-06T13:41:05+03:00,2026-01-06T13:43:41+03:00,2.6,1130.5983999999999,true-positive,0,Disable the user used in the attack and block the IP via active response with rules 5710 5712 5716 and 100100
08,User Added to Admin Group,Privilege Escalation,2026-01-05T18:53:31+03:00,2026-01-05T18:53:43+03:00,Yes,2026-01-05T15:53:31.164000+00:00,0.164,40112,12,Multiple authentication failures followed by a success.,2026-01-06T14:23:49+03:00,2026-01-06T14:31:18+03:00,7.483333333333333,2026-01-06T14:31:34+03:00,2026-01-06T14:38:08+03:00,6.566666666666666,1184.6139333333333,true-positive,0,Block the IP via active response with rules 5902 and 40501 and disable the user used in the attack
09,Network Port Scan,Network,2026-01-05T18:53:44+03:00,2026-01-05T18:54:06+03:00,No,,,,,,2026-01-06T14:42:15+03:00,2026-01-06T14:52:07+03:00,9.866666666666667,2026-01-06T14:52:17+03:00,2026-01-06T14:55:01+03:00,2.7333333333333334,,false-negative,0,No alerts were generated Add firewall rules or integrate Suricata with the firewall to block the attack at the network level
10,Suspicious Outbound Connection,Network,2026-01-05T18:54:07+03:00,2026-01-05T18:54:10+03:00,No,,,,,,2026-01-06T18:32:13+03:00,2026-01-06T18:36:29+03:00,4.266666666666667,2026-01-06T18:36:54+03:00,2026-01-06T18:36:58+03:00,0.06666666666666667,,false-negative,0,No alerts were generated Add firewall rules or integrate Suricata with the firewall to block the attack at the network level
11,SQL Injection Attempts,Web Attack,2026-01-05T18:54:23+03:00,2026-01-05T18:54:31+03:00,No,,,,,,2026-01-06T18:48:42+03:00,2026-01-06T18:49:38+03:00,0.9333333333333333,2026-01-06T18:49:47+03:00,2026-01-06T18:50:49+03:00,1.0333333333333334,,false-negative,0,No alerts were generated Add firewall rules or integrate Suricata with the firewall to block the attack at the network level
12,XSS Injection Attempts,Web Attack,2026-01-05T18:54:25+03:00,2026-01-05T18:54:36+03:00,Yes,2026-01-05T15:54:33.189000+00:00,8.189,31105,6,XSS (Cross Site Scripting) attempt.,2026-01-06T18:53:10+03:00,2026-01-06T20:10:38+03:00,77.46666666666667,2026-01-06T20:10:49+03:00,2026-01-06T20:13:58+03:00,3.15,1519.4135166666667,true-positive,0,Use the firewall to block the attack at the network level
13,Rootkit Indicator,Rootkit,2026-01-05T18:54:42+03:00,2026-01-05T18:54:44+03:00,Yes,2026-01-05T15:54:43.200000+00:00,1.2,5402,3,Successful sudo to ROOT executed.,2026-01-06T20:14:58+03:00,2026-01-06T20:22:07+03:00,7.15,2026-01-06T20:22:15+03:00,2026-01-06T20:23:01+03:00,0.7666666666666667,1528.2966666666666,true-positive,0,Syscheck restored the modified files Block the IP by adding firewall rules with rule ID 5402
14,Service Manipulation,System,2026-01-05T18:54:45+03:00,2026-01-05T18:54:46+03:00,Yes,2026-01-05T15:54:45.206000+00:00,0.206,40112,12,Multiple authentication failures followed by a success.,2026-01-06T20:24:01+03:00,2026-01-06T20:33:29+03:00,9.466666666666667,2026-01-06T20:33:41+03:00,2026-01-06T20:35:07+03:00,1.4333333333333333,1540.3632333333333,true-positive,0,Syscheck restored the modified files Block the IP by adding firewall rules with rule ID 5402
15,Cron Job Modification,Persistence,2026-01-05T18:54:47+03:00,2026-01-05T18:54:54+03:00,Yes,2026-01-05T15:54:48.059000+00:00,1.059,554,5,File added to the system.,2026-01-06T20:38:11+03:00,2026-01-06T20:42:11+03:00,4.0,2026-01-06T20:42:48+03:00,2026-01-06T20:43:06+03:00,0.3,1548.2990166666668,true-positive,0,Syscheck restored the modified files Block the IP by adding firewall rules with rule ID 5402
16,Failed Authentication Attempts,Authentication,2026-01-05T18:54:56+03:00,2026-01-05T18:54:57+03:00,Yes,2026-01-05T15:54:57.220000+00:00,1.22,40112,12,Multiple authentication failures followed by a success.,2026-01-06T20:45:30+03:00,2026-01-06T20:46:30+03:00,1.0,2026-01-06T20:48:30+03:00,2026-01-06T20:49:30+03:00,1.0,1554.5463333333332,true-positive,0,Block the IP by adding firewall rules
17,Log Tampering,Log Tampering,2026-01-05T18:55:58+03:00,2026-01-05T18:56:01+03:00,Yes,2026-01-05T15:56:00.200000+00:00,2.2,592,8,Log file size reduced.,2026-01-06T21:02:31+03:00,2026-01-06T21:03:09+03:00,0.6333333333333333,2026-01-06T21:03:39+03:00,2026-01-06T21:10:46+03:00,7.116666666666666,1574.7633333333333,true-positive,0,Block the IP by adding firewall rules and disable the user used in the attack
18,Suspicious DNS Queries,Command & Control,2026-01-06T18:56:02+03:00,2026-01-06T18:56:12+03:00,No,,,,,,2026-01-06T21:15:17+03:00,2026-01-06T21:15:23+03:00,0.1,2026-01-06T21:15:31+03:00,2026-01-06T21:15:58+03:00,0.45,,false-negative,0,Add Suricata IDS with the firewall to detect and block this attack at the network level
